BOXES,1
BOY,1
BOYCOTT,-2
BOYCOTTED,-2
BOYCOTTING,-2
BOYCOTTS,-2
BOYS,1
BRACELET,1
BRAD,2
BRAIN,0
BRAINWASHING,-3
BRAND,2
BRANDON,1
BRAPA,1
BRARTI,1
BRASIL,1
BRAZIL,1
BRB,2
BREAD,1
BREAK,-1
BREAKFAST,2
BREAKS,0
BREAKTHROUGH,3
BREATH,1
BREATHE,0
BREATHING,0
BREATHTAKING,5
BRENG,1
BRG,1
BRIAN,1
BRIBE,-3
BRIDGE,1
BRIGHT,1
BRIGHTEST,2
BRIGHTNESS,1
BRILLIANT,4
BRING,1
BRINGING,2
BRINGS,2
BRISK,2
BRITISH,1
BRITNEY,1
BRO,2
BROKE,-1
BROKEN,-1
BROODING,-2
BROOKLYN,2
BROS,1
BROTHER,1
BROTHERS,1
BROUGHT,1
BROWN,1
BROWNIES,1
BRP,1
BRPA,1
BRRR,0
BRU,1
BRUH,1
BRUNA,1
BRUNCH,2
BRUNO,1
BSA,0
BSK,1
BSOK,0
BTW,2
BUAT,1
BUBBLE,1
BUBUR,0
BUCKS,1
BUD,1
BUDDIES,1
BUDDY,1
BUDGET,0
BUEN,2
BUENA,2
BUENAS,3
BUENO,1
BUENOS,2
BUFFALO,1
BUFFET,2
BUG,0
BUGS,1
BUH,0
BUILDING,1
BUITEN,1
BUKA,1
BUKANNYA,0
BUKAS,1
BUKU,1
BULAN,1
BULL,1
BULLIED,-2
BULLS,2
BULLSHIT,-4
BULLY,-2
BULLYING,-2
BUM,0
BUMMED,-2
BUMMER,-2
BUMP,1
BUN,1
BUNCH,1
BUNDA,1
BUNG,2
BUNNY,1
BUONGIORNO,4
BUOYANT,2
BURDEN,-2
BURDENED,-2
BURDENING,-2
BURDENS,-2
BUREAU,2
BURGER,1
BURGERS,1
BURLESQUE,2
BURN,0
BURNED,-1
BURNING,0
BURNT,-1
BURUK,0
BUS,0
BUSCAR,1
BUSINESS,1
BUST,1
BUSY,1
BUTT,1
BUTTER,1
BUTTON,1
BUTUH,0
BUU,0
BUUU,-1
BUY,1
BUYING,1
BUZZ,1
BWA,1
BWT,1
BYE,1
BYEE,2
BYEEE,2
BYK,1
CAB,1
CABELO,0
CABEZA,-1
CADE,-2
CAE,1
CAFE,1
CAKE,2
CAKEP,2
CAKES,2
CALI,1
CALIFORNIA,1
CALL,1
CALLE,1
CALLED,1
CALLING,1
CALLS,1
CALM,2
CALMED,2
CALMING,2
CALMS,2
CALON,2
CALOR,0
CAM,1
CAMA,1
CAMBIAR,0
CAMBIO,1
CAME,1
CAMERA,0
CAMILA,0
CAMINO,1
CAMP,1
CAMPING,1
CAMPUS,1
CANADA,0
CANADIAN,1
CANAL,1
CANCEL,-1
CANCELED,-1
CANCELLED,-1
CANCELLING,-1
CANCELS,-1
CANCER,-1
CANCION,1
CANCIONES,1
CANDY,1
CANSADA,-1
CANSADO,0
CAN'T STAND,-3
CANTANDO,1
CANTIK,3
CAP,1
CAPABLE,1
CAPE,0
CAPEK,0
CAPITAL,1
CAPS,1
CAPTIVATED,3
CARA,0
CARALHO,-1
CARAMEL,1
CARANYA,0
CARD,1
CARDIFF,1
CARDS,1
CARE,2
CAREER,1
CAREFREE,1
CAREFUL,2
CAREFULLY,2
CARELESS,-2
CARES,2
CARI,1
CARING,2
CARLOS,1
CARNAVAL,1
CARNAVALES,0
CARNIVAL,1
CAROLINA,1
CARS,1
CASE,0
CASH,1
CASHING IN,-2
CASI,0
CASINO,1
CASITA,1
CASO,1
CAST,1
CASTLE,1
CASUALTY,-2
CAT,0
CATASTROPHE,-3
CATASTROPHIC,-4
CATCH,1
CATCHING,1
CATS,1
CAUGHT,1
CAUSA,0
CAUSE,1
CAUTIOUS,-1
CBA,0
CEDO,0
CEDRIC,1
CEK,2
CEL,0
CELEBRATE,3
CELEBRATED,3
CELEBRATES,3
CELEBRATING,3
CELEBRATION,2
CELEBRITY,2
CELL,0
CELTICS,1
CELULAR,0
CEMBURU,0
CENA,2
CENAR,1
CENAT,0
CENSOR,-2
CENSORED,-2
CENTER,1
CENTRAL,2
CENTRE,1
CENTRO,1
CENUT,0
CEPAT,1
CEPET,1
CERAH,2
CERCA,0
CEREAL,1
CERITA,0
CERITANYA,0
CERTAIN,1
CERTAINLY,2
CERTEZA,1
CERTO,1
CEWE,1
CEWEK,1
CHA,1
CHAGRIN,-2
CHAGRINED,-2
CHAIR,1
CHALLENGE,-1
CHAMA,0
CHAMP,2
CHAMPAGNE,2
CHAMPION,2
CHAMPIONS,2
CHAMPIONSHIP,2
CHAMPS,3
CHANCE,2
CHANCES,2
CHANGE,1
CHANGED,1
CHANGES,1
CHANGING,1
CHANNEL,1
CHAOS,-2
CHAOTIC,-2
CHAPTER,1
CHARACTER,1
CHARACTERS,1
CHARGE,0
CHARGED,-3
CHARGER,-1
CHARGES,-2
CHARITY,2
CHARLIE,1
CHARLOTTE,1
CHARM,3
CHARMING,3
CHARMLESS,-3
CHASE,1
CHASING,1
CHASTISE,-3
CHASTISED,-3
CHASTISES,-3
CHASTISING,-3
CHAT,1
CHATA,-1
CHATO,-1
CHATTING,2
CHEAP,1
CHEAPER,1
CHEAT,-3
CHEATED,-3
CHEATER,-3
CHEATERS,-3
CHEATS,-3
CHECK,2
CHECKED,1
CHECKING,2
CHEEKY,2
CHEER,2
CHEERED,2
CHEERFUL,2
CHEERLESS,-2
CHEERS,2
CHEERY,3
CHEESE,2
CHEESECAKE,1
CHEESY,2
CHEF,2
CHEGA,1
CHEGANDO,1
CHEGAR,1
CHEGOU,1
CHEGUEI,2
CHELSEA,1
CHEM,0
CHEMISTRY,0
CHERISHED,2
CHERISHES,2
CHERISHING,2
CHERRY,1
CHEST,0
CHIC,2
CHICA,1
CHICAGO,1
CHICAS,1
CHICK,2
CHICKEN,1
CHICKS,1
CHICO,1
CHILDHOOD,1
CHILDISH,-2
CHILDREN,1
CHILLED,2
CHILLEN,2
CHILLIN,2
CHILLING,-1
CHILLY,1
CHIN,1
CHINGU,2
CHIP,1
CHIPOTLE,2
CHOCOLATE,1
CHOICE,1
CHOICES,1
CHOIR,1
CHOKE,-2
CHOKED,-2
CHOKES,-2
CHOKING,-2
CHOOSE,1
CHORAR,-2
CHOSE,1
CHRIS,1
CHRIST,2
CHRISTIAN,1
CHRISTMAS,1
CHROME,1
CHUCK,1
CHURCH,2
CHUVA,0
CIAO,2
CICI,1
CIDADE,0
CIE,1
CIEE,2
CIEEE,1
CIELO,1
CIERTO,1
CIK,1
CIN,1
CINE,1
CINEMA,1
CINNAMON,2
CINTA,1
CIRCLE,1
CITA,0
CITY,0
CIUM,1
CKCK,0
CKCKCK,0
CLARIFIES,2
CLARITY,2
CLARO,1
CLASE,0
CLASES,0
CLASH,-2
CLASS,1
CLASSES,1
CLASSIC,2
CLASSY,3
CLEAN,2
CLEANED,1
CLEANER,2
CLEANING,1
CLEAR,1
CLEARED,1
CLEARLY,1
CLEARS,1
CLEVELAND,1
CLEVER,2
CLICK,1
CLIENT,1
CLIMA,1
CLIP,1
CLOCK,0
CLOSE,1
CLOSED,-1
CLOSER,1
CLOSET,1
CLOSING,0
CLOTHES,1
CLOUD,2
CLOUDED,-1
CLOUDS,1
CLOUDY,0
CLUB,1
CLUBS,1
CLUE,0
CLUELESS,-2
CMA,0
CMG,-1
CMO,1
CMON,1
C'MON,1
CNT,0
COACH,1
COAST,1
COAT,1
COBA,1
COCA,1
COCK,-5
COCKSUCKER,-5
COCKSUCKERS,-5
COCKY,-2
COCO,1
COCOK,1
COD,1
CODE,1
CODY,2
COERCED,-2
COFFEE,1
COISAS,1
COK,1
COKE,1
COKLAT,1
COLA,1
COLD,-1
COLE,1
COLEGIO,0
COLLAPSE,-2
COLLAPSED,-2
COLLAPSES,-2
COLLAPSING,-2
COLLECTION,1
COLLEGE,1
COLLIDE,-1
COLLIDES,-1
COLLIDING,-1
COLLISION,-2
COLLISIONS,-2
COLLUDING,-3
COLOCAR,1
COLOR,2
COLORADO,1
COLORS,2
COLOUR,1
COMBAT,-1
COMBATS,-1
COME,1
COMEBACK,1
COMEDY,1
COMENDO,1
COMFORT,2
COMFORTABLE,2
COMFORTING,2
COMFORTS,2
